ticker,caller,timestamp,Open,high,close,low,supply,market_cap,volume
ETH-USD,backtest_v2,2026-01-22 12:00:00+00:00,2983.5,2995.28,2987.95,2975.17,122373866.2178,365646993565.4755,3481.90377328
ETH-USD,backtest_v2,2026-01-22 13:00:00+00:00,2987.96,3007.7,2970.3,2959.11,122373866.2178,363487094826.7314,3702.21069126
ETH-USD,backtest_v2,2026-01-22 14:00:00+00:00,2969.92,2979.64,2937.71,2931.84,122373866.2178,359498930526.69324,7711.6192672
ETH-USD,backtest_v2,2026-01-22 15:00:00+00:00,2937.88,2965.84,2939.3,2902.91,122373866.2178,359693504973.97955,9151.65645382
ETH-USD,backtest_v2,2026-01-22 16:00:00+00:00,2939.31,2956.2,2943.48,2921.21,122373866.2178,360205027734.76996,5708.47450678
ETH-USD,backtest_v2,2026-01-22 17:00:00+00:00,2943.45,2961.42,2958.74,2932.01,122373866.2178,362072452933.25354,9667.16932004
ETH-USD,backtest_v2,2026-01-22 18:00:00+00:00,2958.69,2969.58,2936.31,2934.21,122373866.2178,359327607113.98834,16174.19080357
ETH-USD,backtest_v2,2026-01-22 19:00:00+00:00,2936.3,2960.83,2951.3,2925.01,122373866.2178,361161991368.5932,6561.10717587
ETH-USD,backtest_v2,2026-01-22 20:00:00+00:00,2951.3,2955.19,2935.63,2927.3,122373866.2178,359244392884.96027,6138.35014975
ETH-USD,backtest_v2,2026-01-22 21:00:00+00:00,2935.27,2948.23,2942.45,2929.87,122373866.2178,360078982652.5656,4514.57932787
ETH-USD,backtest_v2,2026-01-22 22:00:00+00:00,2942.64,2955.96,2948.74,2939.84,122373866.2178,360848714271.07556,2629.02738658
ETH-USD,backtest_v2,2026-01-22 23:00:00+00:00,2948.65,2952.89,2949.36,2936.4,122373866.2178,360924586068.1306,2583.42614213
